term,date_raw,event
Summer 2026,May 19,Classes Begin; first six-week session begins
Summer 2026,May 25,"Memorial Day Holiday, Classes Suspended"
Summer 2026,May 29,Substitute a Monday schedule of classes
Summer 2026,June 19,"Juneteenth Holiday, Classes Suspended"
Summer 2026,June 26,Summer first six-week session ends
Summer 2026,June 29,Second six-week session begins
Summer 2026,July 3,"Independence Day Holiday, Classes Suspended"
Summer 2026,August 7,Last Day of Classes: second six-week session ends
Summer 2026,August 25,Summer Degree Award Date
